Country,Date,Sum_Confirmed,sum_Recovered,sum_Deaths,sum_Active,Median_CaseFatalityRatio,Median_IncidenceRate,Lat,Lon
United Kingdom,2020-05-23 00:00:00,255544,1142,36475,217927,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-05-24 00:00:00,258504,1149,36757,220598,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-05-25 00:00:00,260916,1151,36875,222890,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-05-26 00:00:00,262547,1161,36996,224390,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-05-27 00:00:00,266599,1161,37130,228308,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-05-28 00:00:00,268619,1166,37542,229911,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-05-29 00:00:00,270508,1167,37919,231422,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-05-30 00:00:00,272607,1172,38243,233192,7.14285714285714,224.816533650218,56.4907,-4.2026
United Kingdom,2020-05-31 00:00:00,274219,1187,38458,234574,7.14285714285714,224.816533650218,56.4907,-4.2026
United Kingdom,2020-06-01 00:00:00,276156,1190,38571,236395,7.14285714285714,224.816533650218,56.4907,-4.2026
United Kingdom,2020-06-02 00:00:00,277736,1221,39127,237388,7.14285714285714,228.241022519781,56.4907,-4.2026
United Kingdom,2020-06-03 00:00:00,279392,1224,39452,238716,7.14285714285714,229.762629336579,56.4907,-4.2026
United Kingdom,2020-06-04 00:00:00,281270,1212,39811,240247,7.14285714285714,237.370663420572,56.4907,-4.2026
United Kingdom,2020-06-05 00:00:00,283079,1219,39987,241873,7.14285714285714,243.457090687766,56.4907,-4.2026
United Kingdom,2020-06-06 00:00:00,284734,1228,40344,243162,7.14285714285714,249.54351795496,56.4907,-4.2026
United Kingdom,2020-06-07 00:00:00,286294,1230,40548,244516,7.14285714285714,249.54351795496,56.4907,-4.2026
United Kingdom,2020-06-08 00:00:00,287621,1239,40625,245757,7.14285714285714,249.54351795496,56.4907,-4.2026
United Kingdom,2020-06-09 00:00:00,288834,1255,40680,246899,7.14285714285714,260.19476567255,56.4907,-4.2026
United Kingdom,2020-06-10 00:00:00,290581,1257,40968,248356,7.14285714285714,267.802799756543,56.4907,-4.2026
United Kingdom,2020-06-11 00:00:00,291588,1269,41213,249106,7.14285714285714,273.889227023737,56.4907,-4.2026
United Kingdom,2020-06-12 00:00:00,292860,1278,41364,250218,8.33333333333333,280.867958504399,56.4907,-4.2026
United Kingdom,2020-06-13 00:00:00,294402,1282,41566,251554,8.33333333333333,281.97890447084,56.4907,-4.2026
United Kingdom,2020-06-14 00:00:00,295828,1283,41747,252798,8.33333333333333,282.311182612655,56.4907,-4.2026
United Kingdom,2020-06-15 00:00:00,297342,1283,41783,254276,8.33333333333333,282.572003089563,56.4907,-4.2026
United Kingdom,2020-06-16 00:00:00,298315,1284,41821,255210,8.33333333333333,282.767618447245,56.4907,-4.2026
United Kingdom,2020-06-17 00:00:00,299600,1293,42054,256253,8.33333333333333,284.381067343334,56.4907,-4.2026
United Kingdom,2020-06-18 00:00:00,300717,1304,42238,257175,8.33333333333333,284.743438653925,56.4907,-4.2026
United Kingdom,2020-06-19 00:00:00,301935,1313,42373,258249,8.33333333333333,285.049345568364,56.4907,-4.2026
United Kingdom,2020-06-20 00:00:00,303285,1319,42546,259420,8.33333333333333,285.557503356241,56.4907,-4.2026
United Kingdom,2020-06-21 00:00:00,304580,1319,42674,260587,8.33333333333333,285.984186565247,56.4907,-4.2026
United Kingdom,2020-06-22 00:00:00,305803,1319,42717,261767,7.14285714285714,286.331812661304,56.4907,-4.2026
United Kingdom,2020-06-23 00:00:00,306761,1322,42731,262708,7.14285714285714,286.582325743145,56.4907,-4.2026
United Kingdom,2020-06-24 00:00:00,307682,1330,43011,263341,7.14285714285714,286.861421890948,56.4907,-4.2026
United Kingdom,2020-06-25 00:00:00,308337,1345,43165,263827,7.14285714285714,287.0302123397,56.4907,-4.2026
United Kingdom,2020-06-26 00:00:00,309455,1361,43314,264780,7.14285714285714,287.263342971457,56.4907,-4.2026
United Kingdom,2020-06-27 00:00:00,310836,1363,43498,265975,7.14285714285714,287.543126712737,56.4907,-4.2026
United Kingdom,2020-06-28 00:00:00,311727,1364,43598,266765,7.14285714285714,287.778688952709,56.4907,-4.2026
United Kingdom,2020-06-29 00:00:00,312640,1364,43634,267642,7.14285714285714,287.914678285661,56.4907,-4.2026
United Kingdom,2020-06-30 00:00:00,313470,1368,43659,268443,7.142857143,288.03056307921,56.4907,-4.2026
United Kingdom,2020-07-01 00:00:00,314160,1370,43815,268975,7.14285714285714,288.2422422692,56.4907,-4.2026
United Kingdom,2020-07-02 00:00:00,314992,1372,43991,269629,7.14285714285714,288.446102241517,56.4907,-4.2026
United Kingdom,2020-07-03 00:00:00,285268,1373,44080,239815,7.68701526144608,320.425531010823,56.4907,-4.2026
United Kingdom,2020-07-04 00:00:00,285787,1375,44216,240196,7.68701526144608,320.183030308175,56.4907,-4.2026
United Kingdom,2020-07-05 00:00:00,286412,1375,44283,240754,7.68701526144608,320.283702063341,56.4907,-4.2026
United Kingdom,2020-07-06 00:00:00,286931,1375,44305,241251,7.68701526144608,320.366069863023,56.4907,-4.2026
United Kingdom,2020-07-07 00:00:00,287290,1375,44321,241594,7.64421886605595,320.436124658529,56.4907,-4.2026
United Kingdom,2020-07-08 00:00:00,287874,1375,44476,242023,7.64421886605595,320.587294260272,56.4907,-4.2026
United Kingdom,2020-07-09 00:00:00,288511,1378,44602,242531,7.64421886605595,320.757650621475,56.4907,-4.2026
United Kingdom,2020-07-10 00:00:00,289154,1378,44687,243089,7.14285714285714,297.989484282879,56.4907,-4.2026
United Kingdom,2020-07-11 00:00:00,289678,1378,44735,243565,7.64421886605595,321.163309992055,56.4907,-4.2026
United Kingdom,2020-07-12 00:00:00,290504,1378,44883,244243,7.64421886605595,321.227373836251,56.4907,-4.2026
United Kingdom,2020-07-13 00:00:00,291154,1378,44904,244872,7.64421886605595,321.401261413357,56.4907,-4.2026
United Kingdom,2020-07-14 00:00:00,291691,1384,44915,245392,7.61617900172117,322.519163144047,56.4907,-4.2026
United Kingdom,2020-07-15 00:00:00,292931,1385,45053,246493,7.61617900172117,322.546619077274,56.4907,-4.2026
United Kingdom,2020-07-16 00:00:00,293469,1386,45138,246945,7.61617900172117,322.592378965986,56.4907,-4.2026
United Kingdom,2020-07-17 00:00:00,294116,1403,45204,247509,7.60230335702034,322.77270541474,56.4907,-4.2026
United Kingdom,2020-07-18 00:00:00,294803,1403,45318,248082,7.60230335702034,323.433178492143,56.4907,-4.2026
United Kingdom,2020-07-19 00:00:00,295632,1413,45358,248861,7.60230335702034,323.625370024733,56.4907,-4.2026
United Kingdom,2020-07-20 00:00:00,296358,1413,45385,249560,7.60230335702034,323.835865512808,56.4907,-4.2026
United Kingdom,2020-07-21 00:00:00,296944,1413,45397,250134,7.60230335702034,324.511111329794,56.4907,-4.2026
United Kingdom,2020-07-22 00:00:00,297389,1414,45507,250468,7.60230335702034,324.76560109863,56.4907,-4.2026
United Kingdom,2020-07-23 00:00:00,297952,1416,45586,250950,7.60230335702034,325.096279039319,56.4907,-4.2026
United Kingdom,2020-07-24 00:00:00,298731,1425,45639,251667,7.60230335702034,325.455295717211,56.4907,-4.2026
United Kingdom,2020-07-25 00:00:00,299500,1425,45762,252313,7.5954011741683,326.036932210834,56.4907,-4.2026
United Kingdom,2020-07-26 00:00:00,300270,1427,45823,253020,7.5954011741683,326.284035609878,56.4907,-4.2026
United Kingdom,2020-07-27 00:00:00,301020,1434,45837,253749,7.5954011741683,326.320643520848,56.4907,-4.2026
United Kingdom,2020-07-28 00:00:00,301708,1437,45844,254427,7.5954011741683,326.906135168361,56.4907,-4.2026
United Kingdom,2020-07-29 00:00:00,302295,1438,45963,254894,7.14285714285714,326.906135168361,56.4907,-4.2026
United Kingdom,2020-07-30 00:00:00,303063,1438,46046,255579,7.57483572645413,327.622402916194,56.4907,-4.2026
United Kingdom,2020-07-31 00:00:00,303910,1438,46084,256388,7.57483572645413,327.990571571828,56.4907,-4.2026
United Kingdom,2020-08-01 00:00:00,304793,1439,46204,257150,7.57483572645413,328.530862196617,56.4907,-4.2026
United Kingdom,2020-08-02 00:00:00,305572,1441,46278,257853,7.14285714285714,328.69559779598,56.4907,-4.2026
United Kingdom,2020-08-03 00:00:00,306319,1444,46286,258589,7.14285714285714,328.979309105994,56.4907,-4.2026
United Kingdom,2020-08-04 00:00:00,307251,1445,46295,259511,7.41758241758242,330.206969875425,56.4907,-4.2026
United Kingdom,2020-08-05 00:00:00,307926,1445,46384,260097,7.41758241758242,330.206969875425,56.4907,-4.2026
United Kingdom,2020-08-06 00:00:00,308832,1446,46449,260937,7.41758241758242,337.676255241826,56.4907,-4.2026
United Kingdom,2020-08-07 00:00:00,309796,1447,46498,261851,7.41758241758242,347.561665122795,56.4907,-4.2026
United Kingdom,2020-08-08 00:00:00,310696,1447,46596,262653,7.41758241758242,347.955200165718,56.4907,-4.2026
United Kingdom,2020-08-09 00:00:00,311461,1449,46651,263361,7.41758241758242,348.504318830261,56.4907,-4.2026
United Kingdom,2020-08-10 00:00:00,312574,1451,46659,264464,7.41758241758242,348.943613761896,56.4907,-4.2026
United Kingdom,2020-08-11 00:00:00,313392,1463,46611,265318,7.41758241758242,349.795534820318,56.4907,-4.2026
United Kingdom,2020-08-12 00:00:00,313394,1464,46611,265319,7.41758241758242,349.795534820318,56.4907,-4.2026
United Kingdom,2020-08-13 00:00:00,315581,1472,46791,267318,7.41758241758242,351.8746080246,56.4907,-4.2026
